xmlid,xmleventtypeid,xmlticker,xmleventdate,xmlfakeqtr,xmlcity,xmlcompanyname,xmlymd,xmlcalldate,gvkey,datadate,tic,cusip,conm,rdq,exchg,fic,no_of_days
12360552,5,SYMC,4-Mar-19,Symante,MOUNTAIN VIEW,Symantec Corp,20190304,4-Mar-19,,,,,,,,,
12293186,1,SYMPHONY.,5-Feb-19,Q3 2019,NAN,Symphony Ltd,20190205,5-Feb-19,,,,,,,,,
12347148,1,SYN,27-Feb-19,Q4 2018,ANN ARBOR,Synthetic Biologics Inc,20190227,27-Feb-19,177764,20181231,SYN,87164U201,SYNTHETIC BIOLOGICS INC,20190227,12,USA,0
12275145,1,SYNA,7-Feb-19,Q2 2019,SANTA CLARA,Synaptics Inc,20190207,7-Feb-19,142814,20181231,SYNA,87157D109,SYNAPTICS INC,20190207,14,USA,0
12360030,1,SYNC,13-Mar-19,Q4 2018,Buffaclo,Synacor Inc,20190313,13-Mar-19,196355,20181231,SYNC,871561106,SYNACOR INC,20190313,14,USA,0
12254221,1,SYNGENE.N,23-Jan-19,Q3 2019,BANGALORE,Syngene International Ltd,20190123,23-Jan-19,,,,,,,,,
12365050,1,SYNL,5-Mar-19,Q4 2018,SPARTANBURG,Synalloy Corp,20190305,5-Mar-19,10236,20181231,SYNL,871565107,SYNALLOY CORP,20190305,14,USA,0
12274750,1,SYNT.L,4-Mar-19,Full Ye,London,Synthomer PLC,20190304,4-Mar-19,,,,,,,,,
12442437,1,SYPR,28-Mar-19,Q4 2018,LOUISVILLE,Sypris Solutions Inc,20190328,28-Mar-19,30220,20181231,SYPR,871655106,SYPRIS SOLUTIONS INC,20190328,14,USA,0
12301448,1,SYRG,21-Feb-19,Q4 2018,Platteville,SRC Energy Inc,20190221,21-Feb-19,,,,,,,,,
12359709,1,SYRS,7-Mar-19,Q4 2018,CAMBRIDGE,Syros Pharmaceuticals Inc,20190307,7-Mar-19,27392,20181231,SYRS,87184Q107,SYROS PHARMACEUTICALS INC,20190307,14,USA,0
12251382,7,SYRS,10-Jan-19,Syros P,San Francisco,Syros Pharmaceuticals Inc,20190110,10-Jan-19,,,,,,,,,
12430151,1,SYRX,26-Mar-19,Full Ye,NAN,Inpixon,20190326,26-Mar-19,,,,,,,,,
12401872,1,SYSR.ST,13-Mar-19,Q3 2019,NAN,Systemair AB,20190313,13-Mar-19,,,,,,,,,
12348489,1,SYX,26-Feb-19,Q4 2018,PORT WASHINGT,Systemax Inc,20190226,26-Feb-19,60931,20181231,SYX,871851101,SYSTEMAX INC,20190226,11,USA,0
12297891,7,SYY,19-Feb-19,Sysco C,Boca Raton,Sysco Corp,20190219,19-Feb-19,10247,20181231,SYY,871829107,SYSCO CORP,20190204,11,USA,-15
11540417,1,SYY,4-Feb-19,Q2 2019,HOUSTON,Sysco Corp,20190204,4-Feb-19,10247,20181231,SYY,871829107,SYSCO CORP,20190204,11,USA,0
12247326,7,SYY,14-Jan-19,Sysco C,Orlando,Sysco Corp,20190114,14-Jan-19,,,,,,,,,
12125033,1,SZG.DE,25-Mar-19,Full Ye,Frankfurt,Salzgitter AG,20190325,25-Mar-19,,,,,,,,,
12264454,1,SZU.DE,10-Jan-19,Q3 2019,Mannheim,Suedzucker AG,20190110,10-Jan-19,,,,,,,,,
12291986,1,T,24-Apr-19,Q1 2019,DALLAS,AT&T Inc,20190424,24-Apr-19,9899,20190331,T,00206R102,AT&T INC,20190424,11,USA,0
12142493,1,T,30-Jan-19,Q4 2018,DALLAS,AT&T Inc,20190130,30-Jan-19,9899,20181231,T,00206R102,AT&T INC,20190130,11,USA,0
12347166,7,T,27-Feb-19,AT&T In,San Francisco,AT&T Inc,20190227,27-Feb-19,9899,20181231,T,00206R102,AT&T INC,20190130,11,USA,-28
12391793,7,T,12-Mar-19,AT&T In,Palm Beach,AT&T Inc,20190312,12-Mar-19,,,,,,,,,
12249972,7,T,9-Jan-19,AT&T In,Las Vegas,AT&T Inc,20190109,9-Jan-19,,,,,,,,,
12293973,1,T.TO,14-Feb-19,Q4 2018,VANCOUVER,Telus Corp,20190214,14-Feb-19,,,,,,,,,
12299482,1,TA,26-Feb-19,Q4 2018,Westlake,TravelCenters of America L,20190226,26-Feb-19,148350,20181231,TA,89421B109,TRAVELCENTERS OF AMERICA INC,20190226,14,USA,0
12277131,34,TA,17-Jan-19,TravelC,Newton,TravelCenters of America L,20190117,17-Jan-19,,,,,,,,,
12437657,5,TA.TO,25-Mar-19,TransAl,CALGARY,TransAlta Corp,20190325,25-Mar-19,,,,,,,,,
12301405,1,TA.TO,27-Feb-19,Q4 2018,CALGARY,TransAlta Corp,20190227,27-Feb-19,,,,,,,,,
12287217,1,TABREED.D,31-Jan-19,Q4 2018,NAN,National Central Cooling C,20190131,31-Jan-19,,,,,,,,,
12362482,1,TACO,18-Mar-19,Q4 2018,LAKE FOREST,Del Taco Restaurants Inc,20190318,18-Mar-19,19168,20181231,TACO,245496104,DEL TACO RESTAURANTS INC,20190318,14,USA,0
12348339,1,TACT,6-Mar-19,Q4 2018,Hamden,TransAct Technologies Inc,20190306,6-Mar-19,63520,20181231,TACT,892918103,TRANSACT TECHNOLOGIES INC,20190306,14,USA,0
12258334,1,TAEE11.SA,29-Mar-19,Q4 2018,Rio de Janeir,Transmissora Alianca de En,20190329,29-Mar-19,,,,,,,,,
12288278,1,TAH.AX,12-Feb-19,Half Ye,Melbourne Vic,Tabcorp Holdings Ltd,20190212,12-Feb-19,,,,,,,,,
12317540,1,TAKE.NSE,13-Feb-19,Q3 2019,Chennai,Take Solutions Ltd,20190213,13-Feb-19,,,,,,,,,
12246025,1,TAL,24-Jan-19,Q3 2019,Haidian Distr,TAL Education Group,20190124,24-Jan-19,185733,20181130,TAL,874080104,TAL EDUCATION GROUP,20190124,11,CYM,0
12236166,33,TALK.L,1-Feb-19,Q3 2019,London,Talktalk Telecom Group PLC,20190201,1-Feb-19,,,,,,,,,
12328485,1,TALO.N,14-Mar-19,Q4 2018,NAN,Talos Energy Inc,20190314,14-Mar-19,,,,,,,,,
12354758,1,TAMN.S,12-Mar-19,Full Ye,Zürich,Tamedia AG,20190312,12-Mar-19,,,,,,,,,
11771453,1,TAP,12-Feb-19,Q4 2018,DENVER,Molson Coors Brewing Co,20190212,12-Feb-19,3505,20181231,TAP,60871R209,MOLSON COORS BREWING CO,20190212,11,USA,0
12425916,1,TAQA.AD,21-Mar-19,Q4 2018,Abu Dhabi,Abu Dhabi National Energy,20190321,21-Mar-19,,,,,,,,,
12328526,7,TASR,27-Feb-19,Axon En,San Francisco,Axon Enterprise Inc,20190227,27-Feb-19,,,,,,,,,
12327305,1,TASR,26-Feb-19,Q4 2018,SCOTTSDALE,Axon Enterprise Inc,20190226,26-Feb-19,,,,,,,,,
12348058,1,TAST,27-Feb-19,Q4 2018,Syracuse,Carrols Restaurant Group I,20190227,27-Feb-19,176249,20181231,TAST,14574X104,CARROLS RESTAURANT GROUP INC,20190227,14,USA,0
12348051,34,TAST,20-Feb-19,Carrols,Syracuse,Carrols Restaurant Group I,20190220,20-Feb-19,,,,,,,,,
12429109,1,TAT,27-Mar-19,Q4 2018,DALLAS,TransAtlantic Petroleum Lt,20190327,27-Mar-19,142391,20181231,TAT,G89982113,TRANSATLANTIC PETROLEUM LTD,20190326,12,BMU,-1
12278055,1,TATACHEM.,6-Feb-19,Q3 2019,Mumbai,Tata Chemicals Ltd,20190206,6-Feb-19,,,,,,,,,
12281075,1,TATACOMM.,31-Jan-19,Q3 2019,MUMBAI MAHARA,Tata Communications Ltd,20190131,31-Jan-19,,,,,,,,,
12282704,1,TATAELXSI,25-Jan-19,Q3 2019,NAN,Tata Elxsi Ltd,20190125,25-Jan-19,,,,,,,,,
12278390,1,TATAGLOBA,5-Feb-19,Q3 2019,Calcutta,Tata Global Beverages Ltd,20190205,5-Feb-19,,,,,,,,,
12280083,1,TATAMOTOR,7-Feb-19,Q3 2019,Mumbai,Tata Motors Ltd,20190207,7-Feb-19,,,,,,,,,
12285038,1,TATAPOWER,28-Jan-19,Q3 2019,Mumbai,Tata Power Company Ltd,20190128,28-Jan-19,,,,,,,,,
12300541,1,TATASTEEL,8-Feb-19,Q3 2019,Mumbai,Tata Steel Ltd,20190208,8-Feb-19,,,,,,,,,
12288776,33,TATE.L,7-Feb-19,Q3 2019,London,Tate & Lyle PLC,20190207,7-Feb-19,,,,,,,,,
12265749,1,TBBK,25-Jan-19,Q4 2018,WILMINGTON,Bancorp Inc,20190125,25-Jan-19,158587,20181231,TBBK,05969A105,BANCORP INC,20190124,14,USA,-1
12280456,1,TBCG.L,21-Feb-19,Q4 2018,LONDON,TBC Bank Group PLC,20190221,21-Feb-19,,,,,,,,,
12288073,1,TBI,7-Feb-19,Q4 2018,TACOMA,TrueBlue Inc,20190207,7-Feb-19,22207,20181231,TBI,89785X101,TRUEBLUE INC,20190207,11,USA,0
12460640,1,TBK,18-Apr-19,Q1 2019,Dallas,Triumph Bancorp Inc,20190418,18-Apr-19,21815,20190331,TBK,8.97E+304,TRIUMPH BANCORP INC,20190417,14,USA,-1
12260578,1,TBK,23-Jan-19,Q4 2018,Dallas,Triumph Bancorp Inc,20190123,23-Jan-19,21815,20181231,TBK,8.97E+304,TRIUMPH BANCORP INC,20190122,14,USA,-1
12347372,1,TBPH,26-Feb-19,Q4 2018,GEORGE TOWN,Theravance Biopharma Inc,20190226,26-Feb-19,20233,20181231,TBPH,G8807B106,THERAVANCE BIOPHARMA INC,20190226,14,CYM,0
12421784,1,TC.OQ,26-Mar-19,Q4 2018,NAN,TuanChe Ltd,20190326,26-Mar-19,,,,,,,,,
12291557,1,TC.TO,13-Feb-19,Q4 2018,Toronto,Tucows Inc,20190213,13-Feb-19,,,,,,,,,
12441455,1,TC1.DE,29-Mar-19,Q4 2018,BERLIN,Tele Columbus AG,20190329,29-Mar-19,,,,,,,,,
12287726,1,TCAP,28-Feb-19,Q4 2018,RALEIGH,Triangle Capital Corp,20190228,28-Feb-19,,,,,,,,,
12412731,7,TCB,13-Mar-19,TCF Fin,New York,TCF Financial Corp,20190313,13-Mar-19,,,,,,,,,
